Year,HDD unit shipments worldwide (10^6)
1976,0.18
1977,0.24
1978,0.31
1979,0.39
1980,0.51
1981,0.70
1982,0.95
1983,1.97
1984,3.65
1985,4.89
1986,7.41
1987,13.19
1988,17.77
1989,22.18
1990,27.88
1991,32.59
1992,43.91
1993,51.86
1994,70
1995,89.57
1996,105.02
1997,130.50
1998,144.97
1999,174.40
2000,200.10
2001,196
2002,207.40
2003,244.40
2004,305.20
2005,381.16
2006,435.88
2007,501.88
2008,540.28
2009,557.15
2010,651.32
2011,624.50
2012,577.04
2013,551.98
2014,563.97
2015,468.44
2016,424
2017,403.87
2018,375.05
2019,316.30
2020,260.30
2021,259
2022,166
